name	Operation time	dish	url																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Dirt Candy	Brunch: Saturday - Sunday 11:30am-2:30pm||Dinner: Tuesday - Saturday 5:30pm - 10:30pm	"{'Cocktail Menu': {'Non-Alcoholic': 'Navarro Gewürztraminer,Virgin Cocktails,Johnnie Ryan Ginger Beer,Coca-Cola, Diet Coke, Ginger Ale, Bubble up,Iced Tea,San Pellegrino & Acqua Panna', 'Natural Wines': 'Natural Wines', 'White': 'Vadiaperti, Coda Di Volpe, 2014,Forstreiter, Grüner Veltliner, 2014,Hatzidakis, Assyrtiko, 2014,Thurnhoff, Goldmuskateller, 2014,Big Table Farm, Edelzwicker, 2013', 'Cider': 'Cidrerie, Du Vulcain La Transparente', 'Natural Sparkling': ""L'atzar, Cava Brut, Reserva 2013,Thierry Tissot Brut, Rosé, Extra Dry Bugey NV,Audrey & Christian Binner, Cremant D'alsace, Extra Brut,Los Pilares LA Donna's 2014"", 'Rose': 'Pascal Jolivet Sancerre 2015', 'Natural Red': ""Domaine Des Sablonnettes, Les Copines Aussi 2014,Remi Dufaitre, L'air DE Rien 2013,Irancy, Vini, Viti, Vinci 2011,Clos DE Trias, Vielles Vignes 2007,Chateau Massereau Cuvée X, Bordeaux, Superieur 2012,Dirty & Rowdy California Familiar, Mouvedre 2014,CA'Orologio Calaone 2012"", 'Natural White': 'Weingut Maria & Sepp Muster, Opok 2013,I Vini Della Sibilla, Falanghina 2014,Didier Chaffardon, Chenin Blanc 2013,Domaine André & Mireille Tissot, Chardonnay, LA Mailloche 2012', 'Beer': ""Captain Lawrence Kolsch, Elmsford, NY,Bell's Two-Hearted IPA, Kalamazoo, MI,Hitachino Nest, White Ale, Japan"", 'Cocktails': 'Celery Rickey,Tomato Margarita,The Fennel Fizz,Tijuana Sunrise,Zucchini Tini,Kentucky Lemonade,Poolside Breeze,Carrot Daiquiri,Dc Picklebacks', 'Red': 'Moli Dels Capellans, Atrepat 2014,Hans & Anita Nittnaus, Blaufränkisch 2013,Zuccardi, Serie a 2013,Churchill Estates, Touriga, Nacional 2012'}}"	https://www.opentable.com/dirt-candy?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
DOMODOMO			https://www.opentable.com/s/?covers=2&metroId=8&term=DOMODOMO																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Delaware and Hudson	"Lunch: Tuesday-Friday 11 am - 4 pm || Dinner: Monday 12pm-9pm || Tuesday-Saturday 6 pm - 11 pm || Sunday 6 pm - 10 pm || Brunch: Saturday-Sunday 11 am - 4 pm || Tavern: Monday 12pm-9pm, Tuesday-Sunday, 11am - 11pm"	"{'Brunch Menu': {'Beverages': 'Bloody Mary,Chessie,Mimosa,Apricot Bellini', 'House-Made Sodas': 'Ginger Ale,Cream Soda,Rhubarb Switchel,Coffee Egg Cream', 'Brunch': ""Smoked Pennsylvania Trout,Dandelion Salad,Baby Caesar,Spaetzle, Morel, and Scallion Scramble,Spring Herb Omelet,Old-School Lox, Eggs & Onions,Funnel Cake,French Toasted Bread Pudding,Miss Rose's Baltimore Crab Cakes,Creamy Corn Mush,Buckwheat Pancakes,House-Cured Corned Beef Hash,After Church Breakfast,Eggs Ben Franklin,Steak and Eggs,Quiche,The Moose"", 'Sides': 'Crispy Salt Roasted Potatoes,Bacon,Scrapple,Ham,Sage Breakfast Sausage,Fried Apples', 'To Share': 'Yogurt & Granola,Berries and Clabbered Cream,Fresh Cinnamon Doughnuts,Scones & Biscuits', 'Toast': 'Multigrain,White,Cinnamon', 'Coffees & Teas': '""La Colombe"" Coffee,Cold-Brewed Coffee,Harney and Sons Hot Tea,House Blend Iced Tea'}, 'Lunch Menu': {'Lunch': ""Dandelion Salad,Cherry Tomato Salad,Savory Cheese Tart,Smoked Pennsylvania Trout Salad,Grilled Cheese Sandwich and Tomato Bisque Soup,D&H Burger,Skate Schnitzel Sandwich,Wimpie,Miss Rose's Baltimore Crab Cake Sandwich,House-cured Corned Beef on Rye,Amish-Style Chicken Pot Pie,Schnitz und Gnepp,Fish of the Day"", 'Snacks and Sides': 'Pretzel Roll, Cultured Butter,Deviled Pickled Egg,Kohlrabi Slaw,Side Salad,Crispy Roasted Potatoes,Ricotta Fritters,Crock of House Pickles,Sauerkraut Sausage Balls,Bluefish Pate and Toast,Fried Apples', 'All Day Breakfast': 'Full Pennsylvanian,Zucchini Omelet,Two Eggs Any Style,Buckwheat Pancakes,Breakfast Meats,Rye, Wholegrain or White Toast,Cinnamon Toast'}, 'Dinner Menu': {'Appetizers to Share': 'Pretzel Rolls,Cherry Tomato & Melon Caprese,House-Smoked Bluefish Pate,Green Tomato Pie,Fried Stuffed Zucchini Blossom, Anchovy Oil,Braised Bacon, Bacon Braised Beans', 'Desserts for the Table': 'Desserts for the Table', 'Main Course': 'Black Sea Bass,Long Island Duck Breast,Porchetta,Goat Cheese Custard', 'First Course': 'Ricotta Cavatelli,Nettle Cream, Peas, and Herbs'}, 'Tavern Menu': {'Ask About Our Daily Specials!': ""Pie of the Day,Devil's Food Cake,Shoo Fly Pie,Bread Pudding,Bon Bons"", 'Main': 'Dandelion Salad,Cherry Tomato Salad,Savory Cheese Tart,House Smoked Trout Platter,Grilled Cheese Sandwich and Tomato Bisque Soup,Skate Schnitzel Sandwich,Wimpie,D&H Burger,Schnitz und Gnepp,Buttermilk Spaetzle,Pennsylvania Dutch Chicken Pot Pie,Veal Schnitzel', 'Cheese Selection': ""Summer Snow, Woodcock Farms VT,Pipe Dreams Buche, Pipe Dreams Fromage PA,Elsa Mae, Calkin's Creamery PA,Tarentaise, Spring Brook Farm VT"", 'Snacks & Small Plates': ""Pretzel Rolls, Butter & Mustard,Deviled Beet Pickled Egg,Crock of House Pickles,Sauerkraut Sausage Balls,Buffalo Broccoli,Mini Miss Rose's Baltimore Crab Cakes,Ricotta Fritters,Smoked Bluefish Pate,Fava Bean Hummus,Saratoga-style Potato Chips,Salvatore Ricotta, Green Market Stuff,Pigs in Pretzel Blankets""}}"	https://www.opentable.com/r/delaware-and-hudson-brooklyn?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Denizen	Mon 5:00 pm–11:00 pm||Tue–Thu 5:00 pm–12:00 am||Fri 5:00 pm–1:00 am||Sat 11:00 am–1:00 am||Sun 11:00 am–11:00 pm	{}	https://www.opentable.com/r/denizen-brookyln?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Don's Bogam			https://www.opentable.com/s/?covers=2&metroId=8&term=Don's%20Bogam																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Edi & The Wolf			https://www.opentable.com/s/?covers=2&metroId=8&term=Edi%20&%20The%20Wolf																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Dovetail	"Dinner: Monday - Thursday: 5:30pm - 10:00pm, Friday, Saturday: 5:00pm - 11:00pm; Sunday 5:00 - 10:00"	"{'Prix Fixe Menu': {'Desserts': 'Piña Colada Baked Alaska,Scotch Panna Cotta,Toffee Tar,Bittersweet Chocolate Soufflé,Selection of Farmstead Cheeses From Our Trolley', 'Entrees': 'Ora King Salmon,Poached Turbot,Roasted Chicken,Venison Loin,Waygu Beef', 'Vegetables': 'Green Apple Salad,Matsutake Mushrooms,Chayote Squash,Celery Root', 'White Truffles': 'White Truffles', 'Appetizers': 'Ahi Tuna Crudo,Maine Lobster,Porcelet Terrine,Veal Breast Ravioli'}, 'Tasting Menus': {'Tasting': 'Green Apple Salad,Ahi Tuna Crudo,Warmed Avocado,Nantucket Bay Scallops,Foie Gras,Wagyu Beef,Toffee Tart', 'Vegetables': 'Charred Cucumber,Watermelon Radish Salad,Warmed Avocado,Baby Beet Salad,Ricotta Gnudi,Matsutake Mushrooms,Piña Colada Baked Alaska'}, 'Sunday Suppa Menu': {'Entrees': 'Celery Root,Atlantic Salmon,Beef Sirloin', 'Sundaes': 'Mount Olympus,Hop to It,Shark Bait', 'Appetizers': 'Green Apple Salad,Ahi Tuna Crudo,Chayote Squash'}, 'Monday Vegetarian Menu': {'Second Course': 'Celery Root,Potato Gnocchi', 'Third Course': 'Ricotta Gnudi,Poached Turnips', 'Dessert': 'Scotch Panna Cotta,Toffee Tart', 'Vegetable Focused': '', 'Vegetarian': '', 'First Course': 'Warmed Avocado,Baby Beet Salad'}}"	https://www.opentable.com/r/dovetail-new-york?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
El Nuevo Bohío			https://www.opentable.com/s/?covers=2&metroId=8&term=El%20Nuevo%20Boh%C3%ADo																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
East Harbor Seafood Palace		{}	https://www.opentable.com/r/east-harbor-seafood-palace-brooklyn?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Empellón			https://www.opentable.com/s/?covers=2&metroId=8&term=Empell%C3%B3n																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Egg			https://www.opentable.com/s/?covers=2&metroId=8&term=Egg																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Emilio's Ballato			https://www.opentable.com/s/?covers=2&metroId=8&term=Emilio's%20Ballato																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
El Molcajete		{}	https://www.opentable.com/r/el-molcajete-rock-hill?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Emily			https://www.opentable.com/s/?covers=2&metroId=8&term=Emily																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
El Born	"Dinner: Monday - Thursday: 5:00pm - 11:00pm||Friday: 5:00pm - 12:00am||Saturday: 12:00pm - 12:00am||Sunday: 12:00pm - 11:00pm;||CLOSED: 1st of January, Super Bowl Sunday, 4th of July, Thanksgiving Day, Christmas Eve, Christmas Day"	"{'Brunch': {'Paella': 'De carn,De verdures,De peix', 'Drinks': 'Vermut Casa Mariol,Aigua de València (Mimosa),Sangria El Born,Bloody Mary', 'Eggs and More': ""Avocado toast,Eggs Benedict,'Broken eggs' with chistorra,Double Cheeseburger,Spanish omelet,French Toast"", 'Soft Drinks': ""Mataset,Orange / Cranberry / Apple Juice,Lemon or Apple KAS Soda,Mexican Coca Cola,Ginger Ale / Soda Water / Diet Coke,Reed's Ginger Beer,Fever Tree Tonic Water"", 'Tapas': ""Braves El Born,Croquetes del dia,Selecció de formatges,Selecció d'embotits,Cols amb pernil,Amanida de kale,Pop a la pedra,Xistorres,Bacon wrapped dates,Shishito peppers,'Montadito' de bou""}, 'Begudes / Cocktails': {'Gin & Tonics': 'El Pepino,Canela,Ginger,Mediterráneo,El Mago,Hierba Mate', 'Cider': ""Maeloc Apple Cider,Maeloc Pear Cider,Shacksbury 'Arlo' Craft Cider"", 'Cervesa / Beer and More': '', 'Vermuts': 'Casa Mariol,Atxa Rojo,Yzaguirre Reserva Rojo,Lacuesta Reserva', 'Beer': 'Mahou,Clara,Brooklyn Lager,Brooklyn East IPA,Brooklyn Seasonal,Moritz,Estrella Damm,Estrella Daura,Estrella Galicia,E. Galicia 1906,Alhambra Reserva 1925', 'Cocktails': 'Pisco Negro,Four & 1/2,Mezcaloni,Spiced Cider,Wawa,Ginger Mojito,Margarita de Mango'}, 'Carta de Vins / Wine List': {'Negre / Red Wine': ""Tempranillo; Belezos 50/50 2016, Bodegas Zugober, Rioja,Cabernet Sauvignon-Garnatxa; Mas Petit 2014, Parés Baltà, Penedès*,Cabernet Franc-Tempranillo; Abadal 2016, Masies d'Avinyó, Pla de Bages,Tempranillo-Viura; Herrigoia 2016, Compañón Arrieta, Rioja,Tempranillo; Los Cantos 2014, Finca Torremilanos, Ribera del Duero,Tempranillo-Viura; Abando Crianza 2011, Bodegas Santalba, Rioja,Tinto Fino; Camino Romano 2012, Dominio Romano, Ribera del Duero*,Albarin Negro-Mencia; La Fanfarria 2016, Dominio del Urogallo, Asturias,Carinyena-Garnatxa-Cab.Sauvignon-Merlot-Syrah; L'inconscient 2016, Les cousins, Priorat,Garnatxa; Dido 2015, Venus la Universal, Montsant,Garnatxa; Artigas 2014, Mas Alta, Priorat,Mencía; Chano Villar 2012, Bodegas y Viñedos Akilia, Bierzo**,Carinyena-Garnatxa-Cab.Sauvignon-Syrah; 2πR 2011, Gratavinum, Priorat*"", 'Xerès & Més / Sherry and More': 'Palomino; Fino en Rama Mons Urium NV, Jerez de la Frontera**,Palomino; Manzanilla Papirusa, Emilio Lustau, Sanlúcar de Barrameda,Palomino; Amontillado Los Arcos NV, Emilio Lustau, Jerez de la Frontera,Moscatell; Ariyanas Dulce 2010, Bodegas Bentomiz, Sierras de Málaga**,Mataro (Monastrell); Dolç Mataró 2012, Alta Alella, Alella**,Pedro Ximenez; Don PX Gran Reserva 1987, T. Albalá, Córdoba', 'Rosat / Rosé Wine': 'Garnatxa-Syrah-Cab.Sauvignon; Ros de Pacs 2016, Parés Baltà, Penedès*,Garnatxa-Macabeu-Tempranillo; Muga Rosado 2016, Bodegas Muga, Rioja,Macabeu-Cab.Sauvignon-Xarel.lo; Vegas Altas Ancestral, Cerro La Barca, Extremadura,Rome; Ariyanas Romé 2013, Bodegas Bentomiz, Sierras de Málaga**', 'Cava / Sparkling Wine': ""Xarel.lo-Macabeu-Parellada; Cava Brut Nature NV, L'Atzar, Penedès,Trepat-Pinot Noir; Cava Brut Rosé NV, Bohigas, Penedès**,Xarel.lo–Macabeu-Parellada; Cava Brut Reserva NV, Bohigas, Penedès**,Xarel.lo-Macabeu-Parellada; Privat Brut Nature Reserva 2014, Alta Alella, Alella**,Xarel.lo-Macabeu-Parellada-Monastrell; de Nit Brut Rosé 2013, Raventós i Blanc, Penedès"", 'Blanc / White Wine': 'Xarel.lo; Xarel.lo 2016, Bohigas,Penedès**,Verdejo; Menade 2016, Bodegas Menade, Rueda,Chardonnay; Legado Muñoz 2016, Viñedos y Bodegas Muñoz, Tierra de Castilla,Sauvignon Blanc-Muscat-Gewurztraminer; Gesamí Blanc 2016, Gramona, Penedès* **,Hondarribi Zuri; Txacolí Zuri 2015, Ulibarri Artzaiak, Txacolí de Bizcaia,Albariño-Godello-Treixadura; Nice To Meet You Donosti 2014, Adegas Castrobrey, Rias Baixas,Cartoixa Vermell; CV White 2016, Partida Creus, Penedès'}, 'Sopar / Dinner': {'Del Mar / Tapas from the Sea': 'Boquerons amb cítrics,Tartar de tonyina amb alvocat,Calamar a la planxa,Pop a la pedra', 'De Carn / Tapas with Meat': ""Arròs de tardor,Costelles de porc,Broquetes de xai 'morunes',Caneló de cua de bou"", 'Tapas to Share': '', 'Clàssiques / Traditional Tapas': ""Olives,Pica pica,Selecció de formatges,Selecció d'embutits,Ració de pernil ibèric,La Gran Taula,Xistorres,Croquetes del dia,Braves El Born,Paté de pollastre,'Montadito' de bou,Dàtils amb bacó fumat"", 'Paella': 'De carn,De peix,De verdures', ""De l'hort / Tapas from the Garden"": ""Sopa de carbassa,Pebrots shishito,Tomàquets verds fregits,Albergínia 'a la romana',Bolets amb allioli,Amanida de kale,Escalivada amb formatge de cabra,Coliflor gratinada,Cols amb pernil""}, 'Postres / Dessert': {'Cafè i te': 'Cafè sol,Tallat,Cafè bombó,Cigaló,Selecció de tes', 'Postres': 'Crema El Born,Pastís de festucs amb gelat,Coulant de xocolata,Pastís del dia,Selecció de formatges,Dessert mix'}}"	https://www.opentable.com/el-born?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Eleven Madison Park		{}	https://www.opentable.com/eleven-madison-park?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Enzo's of Arthur Ave			https://www.opentable.com/s/?covers=2&metroId=8&term=Enzo's%20of%20Arthur%20Ave																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Estrellita Poblana III			https://www.opentable.com/s/?covers=2&metroId=8&term=Estrellita%20Poblana%20III																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Dumpling Galaxy		{}	https://www.opentable.com/r/dumpling-galaxy-flushing?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
El Quinto Pino	Brunch: Saturday - Sunday: 11:30am - 3:30pm||Dinner: Monday - Thursday: 5:30pm - 11:30am||Friday - Saturday: 5:30pm - 12:00am||Sunday: 5:30pm - 10:30pm	"{'Brunch Menu': {'Bocatas': 'El Doble,Uni Panini,Bocadillo de Calamar,Lomo,Pringa Cubano', 'Sopa / Ensalada': 'Xato,Lentejas', 'Huevos': 'Tortilla Española,Tortilla de Bakalao,Soldaditos de Txitxiki,Verdes,Pisto Bilbaino,Revuelto Ortiguilla,Revuelto Huitlacoche,Huevos Estrellados,Huevo con huevo,Morcilla Casera', 'Dulce': 'Talo,Ensaimadas,Crossaint a la Plancha,Torrijas', 'Tapas Fritas': 'Nuestras Bravas,Pipparas,Garbanzos Fritos,Croquetas,Tortillita de Gamba', 'Tapas Frías': 'Huevos Rellenos,Pan amb Tomaca,Picos y Taquitos,Caballa en Conserva'}, 'Dinner Menu': {'Apetizers': 'Almendras,Aceitunas,Garbanzos Fritos,Picos,Pimientos', 'Bocadillos (Sandwiches)': 'Uni Panini,Bocadillo de Calamar,Lomo,Bikini de Huitlacoche,Pringa Cubano', 'Hot Tapas': 'Nuestras Bravas,Torreznos,Croquetas,Fideúa,Gambas al Ajillo,Lengua Llumacanes,Pinchos Moruno,Huevo con huevo, Tirabeques, Camarón de Cádiz,Arroz Brut de Conejo,Calamar a la Plancha', 'Cold Tapas': 'Anchoa Campo dei Fiori,Huevos Rellenos,Xato,Tortilla Española,Pan amb Tomaca,Picos y Taquitos,Caballa en Conserva,Alubiada de Caritas', 'Menú Turístico: Andalucía': 'Salmorejo Cordobés,Ajo Blanco,Pipirrana con Regaña,Tortillita de Gamba,Garbanzos ""El Rinconcillo"",Revuelto de Ortiguilla'}, 'Lunch Menu': {'Tapas Calientes': 'Nuestras Bravas,Piparras,Garbanzos Fritos,Croquetas,Tortillita de Gamba,Pescado en Adobo,Pinchos Moruno', 'Bocadillos': 'Txikito\'s ""El Doble"",Uni Panini,Bocadillo de Calamar,Lomo,Bikini de Huitlacoche - P,Pringa Cubano', 'Platos de Cuchara': 'Lengua Llucmacanes,Txipis en Tinta,Garbanzos ""El Rinconcillo"",Fideúa,Gambas al Ajillo', 'Tapas Frias': 'Huevos Rellenos,Tortilla Española,Pan amb Tomaca,Picos y Taquitos,Caballa en Conserva', 'Ensaladas y Sopas': 'Alubiada de Caritas,Xato,Camarón de Cádiz - Flash,Porrusalda - Puree of butternut,Mixta'}}"	https://www.opentable.com/el-quinto-pino?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
EN Japanese Brasserie	Lunch: Monday - Friday: 12:00pm - 2:30pm||Brunch: Saturday & Sunday: 11am - 2:30pm||Dinner: Sunday - Thursday: 5:30pm -10:30pm ||Friday & Saturday: 5:30pm -11:30pm	"{'Brunch Menu': {'Salads': 'Kuroge Washugyu Shabu Shabu Salad,Raw Tuna & Avocado Salad,Tofu Salad,En House Salad,Kurobuta Natto', 'House Cocktails': 'Sparkling Yuzu,Hojicha,Ginger,Seppun', 'Rice, Noodles & Soup': 'Uni Don,En Garlic Shiso Fried Rice,Chilled Soba Noodles,Asari Miso Soup,Tofu Miso Soup,Vegetarian Miso Soup', 'Osusume': 'Truffle Chawanmushi,Uni Yuba Sashimi,Bora Tosaage,Truffle Mousse', 'Teishoku': 'Saikyo Miso Black Cod,Crispy Fried Chicken,Wakame Udon,Sashimi,Kaisen Don,Shaké Teishoku,Steak & Eggs', 'O - Banzai': 'Zenmai Piri-Kara,Hijiki,Nasu & Zucchini Agebitashi,Goma Ae,Buta Bara To Renkon No Kinpira,Shira Ae,Kinoko Kiriboshi Daikon Ohitashi', 'Vegetables': 'Edamame,Age Dashi Tofu,Yama-Imo Isobe-Age,Shimonita Konnyaku,Oshinko,Vegetable Tempura,Mushi Yasai,Natto', 'Meat': 'Wagyu From Miyazaki, Japan,Stone Grilled Kuroge Washugyu,Kuroge Washugyu Yaki Shabu,Kurobuta Sausages', 'Poultry': 'Stone Grilled Organic Chicken,Crispy Fried Chicken,Mochi Croquette', 'Freshly - Made Scooped Tofu': 'Freshly - Made Scooped Tofu', 'Sashimi': 'Maguro,Chu Toro,Kampachi,Sawara,Salmon,Kumamoto Oysters with Ponzu,Engawa,Assorted Sashimi', 'Seafood': 'Saikyo Miso Black Cod,Aburi Tasmanian Sea Trout,Ebi Shinjo,Karei Kara Age,Lobster Ishiyaki,Scottish Salmon Kama Amakarani'}, 'Dinner Menu': {'Salads': 'Kuroge Washugyu Shabu Shabu Salad*,On Buta Shabu Salad,Raw Tuna & Avocado Salad*,Tofu Salad,En House Salad,Kaisou Salad,Kurobuta Natto', 'Rice, Noodles & Soup': 'Salmon Clay Rice Pot*,Jyugokokumai Rice Pot,Burgundy Truffle Rice Pot,Matsutake Kani Rice Pot,Uni Don*,En Garlic Shiso Fried Rice,Warm Soba Noodles,Asari Miso Soup,Madai Kabuto Miso Soup', 'Soyokaze': ""O-Banzai,Chef's Sashimi Selection*,Saikyo Miso Marinated Grilled Black Cod,Freshly Scooped Tofu,Stone Grilled Organic Chicken,Warm Soba,Kisetsu No Ice Cream"", 'Nohara {Vegan}': 'Zensai,Smoked Yuba Tofu Salad,Yaki Nasu,Oshinko Roll,Yasai Kushiage,Jyugokokumai Gohan,Kisetsu No Sorbet', 'Sushi and Rolls*': 'Toro Salmon Aburi Sushi,Uni,Snow Crab Tempura & Avocado,Aburi Salmon & Avocado,Anago Bozushi,Chu Toro Spicy Okaka,Homemade Oshink,Tofu & Avocado,Magurozuke Taku', 'Sashimi*': 'Maguro,Chu Toro,Kampachi,Sawara,Salmon,Kumamoto Oysters with Ponzu,Engawa,Assorted Sashimi', ""Sommelier's Seasonal Selections"": 'IWC Trophy Flight,Kitaya 39,Kiseki No Osake,Japanese Whisky Flight', 'En Kaiseki': '', 'Vegetables': 'Edamame,Age Dashi Tofu,Yama-Imo Isobe-Age,Shimonita Konnyaku,Oshinko,Kinoko Tonyu Nabe,Vegetable Tempura,Tsumetai Yasai,Mushi Yasai', 'Aozora': ""Zensai*,Chef's Sashimi Selection*,Lobster Nibitashi*,Matsutake Soup,Washugyu Steak*,Kani Kamameshi,Kuri Panna Cotta"", 'Seafood': 'Saikyo Miso Black Cod,Aburi Tasmanian Sea Trout*,EBI Shinjo,Karei Kara Age,Lobster Ishiyaki*,Scottish Salmon Kama Amakarani,Black Sea Bass Nitsuke,Kampachi Kama,Fried Oyster', 'O - Banzai': 'Zenmai Piri-Kara,Hijiki,Nasu & Zucchini Agebitashi,Goma Ae,Buta Bara To Renkon No Kinpira,Shira Ae,Kinoko Kiriboshi Daikon Ohitashi', 'Poultry': 'Stone Grilled Organic Chicken,Crispy Fried Chicken,Mochi Croquette', 'Freshly - Made Scooped Tofu': 'Freshly - Made Scooped Tofu', 'Osusume': 'Truffle Mousse,Odashi Tomato,Matsutake Soup,Beet Tempura,Ginnan,House-Made Karasumi,Bora Tosaage,Uni Yuba Sashimi*,Anago Tempura,Truffle Chawanmushi', 'Meat': 'Wagyu From Miyazaki, Japan*,Stone Grilled Kuroge Washugyu*,Kuroge Washugyu Yaki Shabu*,Kurobuta Kakuni'}, 'Lunch Menu': {'Salads': 'Kuroge Washugyu Shabu Shabu Salad,Raw Tuna & Avocado Salad,Tofu Salad,En House Salad,Kurobuta Natto', 'House Cocktails': 'Sparkling Yuzu,Hojicha,Ginger,Seppun', 'Rice, Noodles & Soup': 'Uni Don,En Garlic Shiso Fried Rice,Warm Soba Noodles,Asari Miso Soup,Tofu Miso Soup,Vegetarian Miso Soup', 'Osusume': 'Truffle Chawanmushi,Uni Yuba Sashimi,Bora Tosaage,Truffle Mousse', 'Teishoku': 'Saikyo Miso Black Cod,Crispy Fried Chicken,Wakame Udon,Sashimi,Kaisen Don', 'O - Banzai': 'Zenmai Piri-Kara,Hijiki,Nasu & Zucchini Agebitashi,Goma Ae,Buta Bara To Renkon No Kinpira,Shira Ae,Kinoko Kiriboshi Daikon Ohitashi', 'Vegetables': 'Edamame,Age Dashi Tofu,Yama-Imo Isobe-Age,Shimonita Konnyaku,Oshinko,Vegetable Tempura,Mushi Yasai', 'Meat': 'Wagyu From Miyazaki, Japan,Stone Grilled Kuroge Washugyu,Kuroge Washugyu Yaki Shabu', 'Poultry': 'Stone Grilled Organic Chicken,Crispy Fried Chicken,Mochi Croquette', 'Freshly - Made Scooped Tofu': 'Freshly - Made Scooped Tofu', 'Sashimi': 'Maguro,Chu Toro,Kampachi,Sawara,Salmon,Kumamoto Oysters with Ponzu,Engawa,Assorted Sashimi', 'Seafood': 'Saikyo Miso Black Cod,Aburi Tasmanian Sea Trout,EBI Shinjo,Karei Kara Age,Lobster Ishiyaki,Scottish Salmon Kama Amakarani'}}"	https://www.opentable.com/r/en-japanese-brasserie-new-york?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
El Parador	"Lunch: Monday thru Saturday Noon to 3 PM||Tasting Menu at the bar, Monday-Saturday 3:00PM-7:00 PM ($6 Margaritas, Sangria and Beer; Special selection of  appetizers) ||Dinner:  Monday  3 PM to 10 PM||Tuesday Thru Saturday  3 PM to 11 PM||Closed on Sundays and mayor holidays"	"{'Postres': {'Desserts\u200e': 'Banana Rum Cake,Tres Leches Cake,Arroz Con Leche,Mexican Fried Ice Cream,Flan De La Casa', 'Hot Libations\u200e': 'Cafe Mendoza,Chocolate San Michaels,Cafe Americano,Infusions,Cappuccino,Expresso'}, 'Vegetariano': {'not title': 'Black Bean and Spinach Enchiladas,Vegetable Paella,Tostadas De Frijol Y Calabaza'}, 'Lunch Menu': {'not title': 'Huevos Rancheros,Huevos Divorciados,Huevos Revueltos Con Papa Y Chorizo,Huevos a Caballo,Chilaquiles Con Huevo', 'Tortas\u200e': 'Milanesastyle Breaded Cutlet,Torta De Chorizo,Ahogada De Cochinito', 'Nachos\u200e': 'Normales,Royal.,Quesadilla De Camarones,Quesadilla Sofia,Quesadilla De Hongos,Enchilada Suiza and a Chile Relleno,Burritos or Chimichangas,Baja California Fish Tacos.,Fajitas,Grilled Catch of the Day.'}, 'Dinner': {'not title': ""Grilled Chicken Tostada Salad,Chilaquiles De Liza,Enchiladas Suizas,Taco Tray,Carlitos' Special,Chimichanga,Baja California Fish Tacos,Braised Shrimp in Salsa Verde,Alvarado's Arroz a La Tumbada,Pollo Parador,Mole Poblano,Fajitas De Pollo,Carne,Camarones,Ropa Vieja Mexicana,22 Oz. Grilled Sirloin Steak,Cerdo Picante,Mixiote De Costilla De Puerco,Costillas D' Cordero Al Chipotle"", 'Quesadillas\u200e': 'Sofia,Camarones,Hongos'}}"	https://www.opentable.com/r/el-parador-new-york?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
