name,dish,Operation time
Contra,,
Cotenna,,
Cookshop,{},Brunch: Saturday & Sunday 10:00am-4:00pm    Breakfast: Monday - Friday 8:00am-11:30am    Lunch: Monday - Friday 12:00pm-4:00pm    Dinner: Monday - Saturday 5:30pm-11:00pm    Dinner: Sunday 5:30pm-10:00
Cut by Wolfgang Puck,,
De Mole,,
Ciccio,{},LUNCH & DINNER    Monday -  Friday:    11:30am - 11:00pm    Saturday & Sunday:  4:00pm - 11:00pm
Cosme,{},Dinner is offered Sunday – Thursday from 5:30pm to 11:00pm                                        Friday – Saturday from 5:30pm to 12:00am     Lunch is offered Monday – Friday from 12:00pm to 2:30pm     Brunch is offered Saturday and Sunday from 11:30am to 2:30pm
db Bistro Moderne,,
Cote,"{'Main Menu': {'Specialty Cuts': 'The Flatiron,COTE Steak,Hanger Steak,Skirt Steak,COTE Galbi (Marinated Shortrib)', 'Savory Accompaniments': 'Fermented Soy Stew,Kimchi Stew,Kimchi Wagyu ""Paella"",Dol-Sot Bibimbop,Jan-Chi Somyun,Bi-Bim Somyun', ""Butcher's Feast"": 'Ban-Chan,Scallion Salad,Red Leaf Lettuce with Ssam-Jang,Savory Egg Soufflé,Two Stews,Seasonal Soft Serve', 'More Meat for Your Meal': 'Market Fish', 'Shareable Appetizers': 'Wedge Salad,Steak Tartare*,Crudités,Seasonal Crudo*,Shrimp Cocktail,Korean ""Bacon""', 'Prime Cuts': 'Dry-Aged Ribeye,Dry-Aged Sirloin,Filet Mignon'}}",Mon–Wed 5:00 pm–11:00 pm    Thu–Sat 5:00 pm–12:00 am    Sunday    Sun 4:00 pm–9:00 pm
Danji,"{'Brunch': {'To Share': ""Tofu w. Ginger Scallion Dressing* ^,Handmade Vegetable Dumplings^,Spicy 'K.F.C' Korean Fire Chicken Wings,Bulgogi Beef Sliders,Daikon Beef Soup,Trio of Kimchi,Trio of Banchan^"", 'Entrée': ""Big Korean Breakfast,Huevos 'Pajeon' Rancheros,Spicy Cod Roe & Soft Scrambled Eggs,Kimchi Fried Rice Gratin under Eggs,Crispy Tofu Salad^,Bibim-Bap^,Chul-Sot Bibim-Bap^,Curry Udon w. Kimchi""}, 'Cocktails + Beer': {'Wine by Glass': ""Glera, Prosecco DOC, Lamberti, NV Veneto, Italy,Grüner Veltliner, Der Pollenhof-Erwin Poller, 2016 Weinviertel Niederosterreich, Austria,Chenin Blanc, Backsberg, 2017 Paarl, South Africa,Chardonnay, Roth, 2014 Sonoma, California,Pinot Noir, Sharecropper's, 2015 Willamette, Oregon,Cabernet Sauvignon, Avalon, 2014 Napa Valley, California,Barbera, Ca´Bianca, Barbera d´Asti Antè, 2014 Piedmont, Italy"", 'Beer': 'Kloud Korean Lager,Lagunitas IPA,Hitachino White Ale,Duvel Belgian Golden Ale', 'Cocktails': 'Korean Pear,Soju Sangria,Spicy Ginger Margarita,Su Jung Kwa', 'Beverages': 'Soda,Juice,Fiji / San Pellegrino', 'Non - Alcoholic': 'Raspberry Spritzer,Shiso Lemonade', 'Makgeolli': 'Makgeolli'}, 'Wine': {'Red': ""Pinot Noir, Père & Fils, Chanson Bourgogne, 2014 Burgundy, France,Cabernet Sauvignon, Avalon, 2014 Napa Valley, California,Pinot Noir, Sharecropper's, 2015 Willamette, Oregon,Barbera, Ca´Bianca, Barbera d´Asti Antè, 2014 Piedmont, Italy,Saint-Joseph, Laurent Betton, 2014 Northern Rhône, France,Grenache, Châteauneuf Du Pape, Domain Du Père Caboche, 2014 Rhône, France,Tempranillo, Reserva, Imperial, CVNE, 2011 Rioja, Spain,Gevrey-Chambertin, Domaine Roy Marc VV, 2013 Burgundy, France"", 'White': ""Grüner Veltliner, Gobelsburg GV Renner, 2015 Kamptal, Austria,Sauvignon Blanc, Pierre Martin, Les Monts Damnés, 2014 Sancerre, France,Riesling Dry, Silver Thread, 2015 Finger Lakes, New York,Chenin Blanc, Backsberg, 2017 Paarl, South Africa,Chardonnay, Roth, 2014 Sonoma, California,Olivier Leflaive, Bourgogne Blanc, Les Setilles, 2014 Burgundy, France,Boyer-Martenot, 'Les Narvaux,' Meursault, 2015 Burgundy, France""}, 'Brunch Drinks': {'Cocktails': 'Strawberry Mimosa,Kimchi Bloody Mary,Bloody Mary,Spicy Guava Margarita,Soju Sangria,Strawberry Mint Spritzer (Non-Alcoholic),Shiso Lemonade (Non-Alcoholic)', 'Wine by Glass': ""Glera, Prosecco DOC, Lamberti, NV Veneto, Italy,Grüner Veltliner, Der Pollenhof-Erwin Poller, 2014 Weinviertel Niederosterreich, Austria,Chenin Blanc, Backsberg, 2015 Paarl, South Africa,Chardonnay, Roth, 2014 Sonoma, California,La Porte Du Caillou Rosé, Sancerre, 2016 Loire Valley, France,Pinot Noir, Sharecropper's, 2015 Willamette, Oregon,Barbera, Ca´Bianca, Barbera d´Asti Antè, 2014 Piedmont, Italy"", 'Beverages': 'Coffee,Tea,Soda,Juice,Fiji / San Pellegrino', 'Beer': 'Kloud Korean Lager,Lagunitas IPA,Hitachino White Ale,Duvel Belgian Golden Ale,Makgeolli'}, 'Dinner': {'Large': ""Soy-poached Black Cod w. Spicy Daikon*,'Danji' Braised Black Angus Short Rib,Bacon Wet Kimchi Fried Rice,Spicy Soft Tofu Stew"", 'Small': ""Hen of the Woods,Spicy Yellowtail Sashimi w. Crispy Potato Flakes,'Egg' Over Rice,Spicy Whelk Salad w. Buckwheat Noodles*,Tofu w. Ginger Scallion Dressing*,Spicy Rice Cake, Berkshire Sausage,Bulgogi Beef Sliders,Spicy Pork Belly Sliders"", 'Medium': ""Mesclun Salad w. Citrus Vinaigrette,Shrimp & Scallion Pancake w. Chili Pepper,Spicy 'K.F.C' Korean Fire Chicken Wings,Garlic Honey Wings w. Sesame Seeds,Sweet Potato Noodles w. Beef & Vegetables,Kimchi Poutine,Bossam"", 'Featured Items': 'Trio of Kimchi,Trio of Banchan,Homemade Assorted Pickles,Homemade Fermented Chili Sauce,Koshihikari Premium Short Grain White Rice'}, 'Lunch': {'Bibim-Bap': ""Beef Bulgogi Bibim-Bap,Spicy Pork Belly Bibim-Bap,Farmers Market Vegetable Bibim-Bap^,Kimchi Pork Bibim-Bap,Korean 'Poke' Bibim-Bap,Curry Udon w. kimchi,Spicy Gochujang Bolognese Noodle"", 'Main': ""Tofu w. Ginger Scallion Dressing* ^,Spicy Cod Roe & Soft Scrambled Eggs,Handmade Vegetable Dumplings^,Spicy 'K.F.C.' Korean Fire Chicken Wings,Bulgogi Beef Sliders,Beef & Korean Radish Soup,Trio of Kimchi,Trio of Banchan^"", 'Special': 'Chul-Sot Bibim-Bap', 'Bibim-Bap Set Menu': 'Bibim-Bap Set Menu'}}","Lunch: Monday-Friday 12:00pm-2:30pm      Dinner: Monday-Thursday 5:00pm-11:00pm      Brunch: Saturday-Sunday 11:00am-3:00pm      Friday-Saturday 5:00pm-12:00am      Dinner: Sunday 5:00pm-11:00pm    For dinner service , kitchen does last call 1 hour prior to closing    We will be closed for labor day September 4th, 2017.     "
Degustation,{},Tuesday - Saturday: 6:00pm - 11:30am
da Umberto,"{'Private / Group Dining Prefix Sample Menu': {'Secondi': 'Prime Cut Beef Fillet,Orata,Lamb Osso Buco,Fillet Of Wild Salmon,Capricciosa', 'Café E Dolci': 'Dessert Platters and Coffee', 'Antipasto': 'Antipasto', 'Primo': 'Wild Mushroom And Truffle Ravioli,Rigatoni'}, 'Lunch / Pranzo': {'Secondi': 'Capricciosa,Diavola,Stinco,Scaloppine,Costoletta,Fiorentina,Mare,Trota,Salmone,Intero', 'Antipasti': ""L'orto,Rustico,Funghi,Carpaccio,Scampi,Polipo,Caprino,Endivia,Fritto"", 'Contorni': 'Polenta,Cavoletti,Patate,Rapini,Caponatina,Spinaci', 'Primi': 'Raviolacci,Cavatelli,Pappardelle,Pennett,Rigatoni,Spaghetti,Risotto'}, 'Wine List': {'Italia Bianchi': '', 'Resto Italia': ""Asprinio Intrepid Selection 2010 Campania,Verdicchio Classico Dei Castelli Di Jesi Tenuta Dell'Ugolino 2011 Marche,Falanghina dei Feudi di Sangregorio 2011 Campania,Pecorino Ciavolich Colline Pescaresi 2012 Abruzzo,Vermentino Argiolas 2011,Grillo Feudo Montoni Vigna Della Timpa 2012 Sicilia,Lugana Famiglia Olivini 2011 Lombardia,Fiano di Avellino Feudo Apiano 2012,Greco di Tufo Feudi di San Gregorio 2011 Campania,Ros'Aura Feudi Di San Gregorio Rosato 2012 Campania"", 'Frizzanti': 'Lambrusco Pijafoc Mantova,Prosecco Borgo Magredo,Prosecco di Baldobbiadene Rustico Nino Franco,Gerard Bertrand Cremant De Limoux 2009', 'Champagne': 'Louis Roederer Brut Collection,Veuve Clicquot Brut Yellow label,Bollinger Special Cuvee,Dom Perignon Moet et Chandon a Epernay 1999,Cristal Louis Roederer Reims 2004', 'Porto': ""Dow's Fine Ruby,Dow's Fine Tawny,Dow's Vintage Porto 1994,Dow's Vintage Porto 1985"", 'Altri Bianchi': ""Chablis Isabelle et Denis Pommier 2010 Francia,Torrontes Recuerdo Mendonza 2011 Argentina,Sauvignon Blanc Goose Bay Kosher 2012 Nuova Zelanda,Gruner Veltliner Kamptal Loimer 2011 Austria,Chateau De Sancerre Marnier-Lapostolle 2011 Francia,Cote De Nuits Villages Le Vaucrain Louis Jadot 2010,Pouilly-Fuisse' Domaine J.A. Ferret 2010 Francia,Chassagne Montrachet Les Benoites Domaine J. Chatrone 2010 Francia,Chardonnay Recanati Special Reserve Kosher 2010 Israele"", 'Friuli, Veneto e Trentino': ""Pinot Grigio Talis 2011,Pinot Grigio Torre Rosazza 2011,Riesling Istituto San Michele 2011,Soave Anselmi San Vincenzo 2010,Friulano Collio Doro Princic 2011,Collio bianco Cicinis Attems 2006,Chardonnay Jermann Dreams 2008 'half bottle',Chardonnay Casa Zuliani 2011,Chardonnay Jermann Dreams 2010"", 'California Rossi': ""Merlot Crimson Creek Pine Ridge Vineyards Napa Valley 2008,Merlot Northstar Columbia Valley 2008,Pinot Noir Gargasacchi 2009,Zinfandel Seghesio Sonoma County 2011,Cain Cuvee Napa Valley 2007,Syrah Austin Hope Winery 2008,Cabernet Sauvignon Rombauer Vineyards Napa Valley 2009,Cabernet Sauvignon Hall Napa Valley 2009 'half bottle',Cabernet Sauvignon Cain concept 2008,Cabernet Sauvignon One Point Five Shafer 2010"", 'Piemonte': 'Roero Arneis Bruno Giacosa 2011,Gavi di Gavi La Scolca Black Label 2011,Sauvignon Blanc Gaja Alteni Di Brassica 2010', 'Italia Rossi': '', 'California Bianchi': 'Riesling Eroica Columbia Valley 2011,Sauvignon Blanc Emmolo Napa Valley 2011,Chardonnay Les Pierres Sonoma-Cutrer 2010', 'Brunello': ""Brunello di Montalcino Vascosassetti 2007,Brunello di Montalcino San Lorenzo Bramante 2006,Brunello di Montalcino Vigna Loreto Mastrojanni 2007,Brunello Di Montalcino Altesino 2008,Brunello di Montalcino Pian Delle Vigne 2007,Brunello di Montalcino Col D'Orcia 1997,Brunello di Montalcino Palazzo 2006,Brunello di montalcino Vigna Schiena D'Asino Mastrojanni 2006,Brunello di Montalcino Riserva Poggio al Vento Col D'Orcia 2004,Brunello di Montalcino Col D'Orcia 2006 'Magnum'"", 'Vini Dolci': ""Moscato D'Asti Cantina del Glicine 2011,Brachetto D'Acqui Le Donne dei Boschi Ca' Dei Mandorli 2011 'half litre',Passito di Pantelleria 2008 'half bottle',Passito di Pantelleria 2008 'half bottle',Icewine Inniskillin Vidal 2007 'half bottle',Recioto della Valpolicella Classico Allegrini 2006 Veneto 'half litre'"", 'Toscana': ""Terre Di Tufi Puthod Terruzzi 2011,Vermentino Sardi Giustiniani Fattoria Sardi 2012,Moscato Percorsi Cecilia Isola D'Elba 2012,Chardonnay Castello di Pomino Marchesi de Frescobaldi 2012,Chardonnay Cervaro Castello Della Sala Antinori 2011,Scalabrone Tenuta Guado al Tasso Rosato 2012"", 'Super Tuscan': ""Tenuta Frescobaldi di Castiglione 2009,Montecucco Rosso Riserva Castello Colle Massari 2008,Campo al Mare Bolgheri 2010,Il Bruciato Tenuta Guado al Tasso 2011,Terrabianca Campaccio 2008,Rosso Acantos 2008,Guarda Boschi Fornacelle 2008,Romitorio di Santedame Ruffino 2004,La Braccesca Bramasole Syrah 2007,Vignamaggio Cabernet Franc 2007,Tignanello 2010,Guado al Tasso Antinori 2009,Castello dei Rampolla Sammarco 2006,Sassicaia 2010,Ornellaia 2010,Solaia 2008,Solaia 2008 'magnum'"", 'Altri Rossi': 'Rioja Reserva Castillo Labastida 2005 Spagna,Malbec Enamore Renacer Mendoza 2009 Argentina,Shiraz Groom Barossa Valley 2010 Australia,Cabernet Sauvignon Recanati Special Reserve Kosher 2007 Israele,Domain Du Castel Grand Vin Kosher 2010 Israele,Chateauneuf du Pape Domaine La Roquete 2008 Francia'}, 'Dinner / Cena': {'Secondi': 'Capricciosa,Diavola,Stinco,Scaloppini,Costoletta,Fiorentina,Mare,Trota,Salmone,Intero', 'Antipasti': ""L'orto,Rustico,Funghi,Carpaccio,Scampi,Polipo,Caprino,Endivia,Fritto"", 'Contorni': 'Polenta,Cavoletti,Patate,Rapini,Caponatina,Spinaci', 'Primi': 'Raviolacci,Cavatelli,Pappardelle,Pennette,Rigatoni,Spaghetti,Risotto'}, 'Specials': {'Paste E Risotto': 'Trenette Con Prosciutto, Piselli, Radicchio E Crema Tartufata,Ravioli Di Carciofi Con Pomodorini E Vino Bianco,Risotto Bolognese', 'Antipasti': 'Rucola, Portobello, Mela E Pecorino,Asparagi Alla Vinagrette Con Peperoni E Caciotta,Burrata Caprese,Frittelle Di Ricotta Con Prosciutto', 'Carni': ""Pollo Croccante,Filetto Di Manzo Al Pepe,Ossobuco D'agnello Con Risotto,Animelle, Capperi E Limone,Salsicce Alla Giglia Con Mandorle E Rapini"", 'Pesce': 'Orata Al Forno,Pesce Spada Al Rosmarino,Gamberi Maya Fra Diavolo'}}",Lunch    Monday - Friday: 12:00pm - 3:00pm    Dinner    Monday - Saturday: 5:30pm - 11:00pm
dinnertable,,
Craft,{},"Weekday Lunch:       Monday-Friday, 12:00pm to 2:30pm    Dinner:     Monday-Thursday, 5:30pm to 10:00pm    Friday & Saturday, 5:30pm to 11:00pm    Sunday, 5:30pm to 9:00pm"
Delaware and Hudson,"{'Brunch Menu': {'Brunch': ""Smoked Pennsylvania Trout,Dandelion Salad,Baby Caesar,Spaetzle, Morel, and Scallion Scramble,Spring Herb Omelet,Old-School Lox, Eggs & Onions,Funnel Cake,French Toasted Bread Pudding,Miss Rose's Baltimore Crab Cakes,Creamy Corn Mush,Buckwheat Pancakes,House-Cured Corned Beef Hash,After Church Breakfast,Eggs Ben Franklin,Steak and Eggs,Quiche,The Moose"", 'To Share': 'Yogurt & Granola,Berries and Clabbered Cream,Fresh Cinnamon Doughnuts,Scones & Biscuits', 'Coffees & Teas': '""La Colombe"" Coffee,Cold-Brewed Coffee,Harney and Sons Hot Tea,House Blend Iced Tea', 'Toast': 'Multigrain,White,Cinnamon', 'House-Made Sodas': 'Ginger Ale,Cream Soda,Rhubarb Switchel,Coffee Egg Cream', 'Beverages': 'Bloody Mary,Chessie,Mimosa,Apricot Bellini', 'Sides': 'Crispy Salt Roasted Potatoes,Bacon,Scrapple,Ham,Sage Breakfast Sausage,Fried Apples'}, 'Dinner Menu': {'Main Course': 'Black Sea Bass,Long Island Duck Breast,Porchetta,Goat Cheese Custard', 'Appetizers to Share': 'Pretzel Rolls,Cherry Tomato & Melon Caprese,House-Smoked Bluefish Pate,Green Tomato Pie,Fried Stuffed Zucchini Blossom, Anchovy Oil,Braised Bacon, Bacon Braised Beans', 'First Course': 'Ricotta Cavatelli,Nettle Cream, Peas, and Herbs', 'Desserts for the Table': 'Desserts for the Table'}, 'Tavern Menu': {'Ask About Our Daily Specials!': ""Pie of the Day,Devil's Food Cake,Shoo Fly Pie,Bread Pudding,Bon Bons"", 'Main': 'Dandelion Salad,Cherry Tomato Salad,Savory Cheese Tart,House Smoked Trout Platter,Grilled Cheese Sandwich and Tomato Bisque Soup,Skate Schnitzel Sandwich,Wimpie,D&H Burger,Schnitz und Gnepp,Buttermilk Spaetzle,Pennsylvania Dutch Chicken Pot Pie,Veal Schnitzel', 'Snacks & Small Plates': ""Pretzel Rolls, Butter & Mustard,Deviled Beet Pickled Egg,Crock of House Pickles,Sauerkraut Sausage Balls,Buffalo Broccoli,Mini Miss Rose's Baltimore Crab Cakes,Ricotta Fritters,Smoked Bluefish Pate,Fava Bean Hummus,Saratoga-style Potato Chips,Salvatore Ricotta, Green Market Stuff,Pigs in Pretzel Blankets"", 'Cheese Selection': ""Summer Snow, Woodcock Farms VT,Pipe Dreams Buche, Pipe Dreams Fromage PA,Elsa Mae, Calkin's Creamery PA,Tarentaise, Spring Brook Farm VT""}, 'Lunch Menu': {'Snacks and Sides': 'Pretzel Roll, Cultured Butter,Deviled Pickled Egg,Kohlrabi Slaw,Side Salad,Crispy Roasted Potatoes,Ricotta Fritters,Crock of House Pickles,Sauerkraut Sausage Balls,Bluefish Pate and Toast,Fried Apples', 'Lunch': ""Dandelion Salad,Cherry Tomato Salad,Savory Cheese Tart,Smoked Pennsylvania Trout Salad,Grilled Cheese Sandwich and Tomato Bisque Soup,D&H Burger,Skate Schnitzel Sandwich,Wimpie,Miss Rose's Baltimore Crab Cake Sandwich,House-cured Corned Beef on Rye,Amish-Style Chicken Pot Pie,Schnitz und Gnepp,Fish of the Day"", 'All Day Breakfast': 'Full Pennsylvanian,Zucchini Omelet,Two Eggs Any Style,Buckwheat Pancakes,Breakfast Meats,Rye, Wholegrain or White Toast,Cinnamon Toast'}}","Lunch: Tuesday-Friday 11 am - 4 pm      Dinner: Monday 12pm-9pm      Tuesday-Saturday 6 pm - 11 pm      Sunday 6 pm - 10 pm      Brunch: Saturday-Sunday 11 am - 4 pm      Tavern: Monday 12pm-9pm, Tuesday-Sunday, 11am - 11pm"
Dinosaur Bar-B-Que,,
Daniel,"{""New Year's Eve Pre Gala"": {'Main Courses': 'Wood Fired Atlantic Turbot,Pancetta Wrapped Yellow Fin Tuna,Binchotan Charcoal Grilled Wild Partridge,Liberty Farm Charcoal Wood Fired Duck,Scharbauer Ranch Beef Striploin', 'Desserts': 'Pears Poached in Coconut Water with Ginger Sabayon,Olive Oil Ice Cream, Sweet Vinaigrette,Roasted Chestnut Cognac Vermicelle,Honey-Thyme Glazed Apple Tart,Chocolate Dentelle, Cru Sauvage Bavaroise', 'Appetizers': 'Kusshi Oysters in a Seawater Gelée,Wasabi Marinated Hamachi,Mandarin Napoléon and Vodka Flambéed Foie Gras,Scottish Hare Consommé in Puff Pastry,Maine Sea Scallops ""à la Plancha"",Caviar', 'A Celebration of White Truffle from Alba': 'Grayson Agnolotti or Creamy Risotto with Parmesan'}, 'Wine': {'Red Wine': 'Au Bon Climat Pinot Noir ""Daniel"", Santa Barbara 2014,Inconnu Cabernet Sauvignon ""Los Carneros"", California 2014,Sperino Coste della Sesia ""Uvaggio"", Piedmont 2013,Philippe & Vincent Jaboulet Crozes-Hermitage ""Nouvelère"", Rhône 2012,Château Fortia Chateauneuf du Pape, Rhône 2015,Château Fougères Graves, Bordeaux, France 2010,Julien Sunier Fleurie, Beaujolais 2016,Maison Drouhin Santenay, Burgundy 2013', 'Sweet Wine': 'Giorgio Rivetti La Spinetta Moscato D\'Asti, Italy 2015,Royal Tokaji Company Tokaji ""Late Harvest"", Hungary 2015,Château Coutet Sauternes, Bordeaux, France 1998,Domaine de Rancy Rivesaltes Ambré Roussillon, France 2001', 'Beer': 'Einbecker NA (Germany),Abita Light (USA),Reissdorf Kölsch (Germany),Six Point ""Sweet Action"" Blonde Ale Can (USA),Allagash White Ale (USA),Carton Brewing Sakura Sour Ale Can (USA),Orval Trappist Ale (Belgium),Ommegang Abbey Ale (USA)', 'White Wine': 'Au Bon Climat Chardonnay ""Daniel"", Santa Barbara 2015,Julian Haart Riesling ""Moselle"", Mosel 2016,Jean-Louis Chave ""Circa"", Saint-Joseph, Rhône 2015,Manoir de la Firetière Muscadet Sevre et Maine Sur Lie 2016,Domaine Bailly-Reverdy ""Chavignol"", Sancerre, Loire 2016,Domaine Mothe Chablis, Burgundy 2015', 'Champagne Brut': 'Ployez-Jacquemart ""Marie Weiss"" NV,Pierre Paillard Bouzy Grand Cru ""Daniel"" NV,Diebolt-Vallois Blanc-de-Blancs ""Prestige"" NV,Billecart-Salmon Brut Rosé NV,Dom Perignon Brut 2006', 'Port, Madeira & Sherry': 'Graham\'s 20yr Tawny, Port,Dow\'s, Port 1983,D\'Oliveiras Sercial, Madeira 1989,D\'Oliveiras Verdelho, Madeira 1986,D\'Oliveiras Boal, Madeira 1987,D\'Oliveiras Malvasia, Madeira 1989,Tradicion Fino Viejo Sherry,Lustau Almacenista ""Cuevas Jurado"" Manzanilla Pasada Sherry,Lustau Almacenista ""Cayetano del Pino"" Palo Cortado Sherry,Gutierrez Colosia Oloroso Sherry', 'Wine by the Glass': ''}, 'Vegetarian': {'Mains': 'Champignons,Endives,Pois', 'Appetizers': 'Racines,Potimaron,Rutabaga,Truffe Noire,Aubergine,Kabocha,Truffe Blanche'}, ""New Year's Eve Gala Dinner"": {'Four Course': 'Thon', 'Featured Item': 'Caviar', 'First Course': 'Huître', 'Third Course': 'Truffe Blanche', 'Second Course': 'Langoustine', 'Six Course': 'Fruit Exotiques,Elvisia', 'Five Course': 'Perdrix Rouge*'}, 'Dessert': {'Douceur de la Saison': 'The Mont-Blanc,Our Interpretation', 'Desserts': 'Poire,Mandarine,Pomme,Bolivie,Itakuja,Elvisia,Bûche de Noël'}, 'Winter Truffles': {'Fourth Course': 'Saint-Pierre,Black Truffle Dusted John Dory,Cauliflower, White Barley,Crosnes, Truffle Gremolata', 'First Course': 'Seriole,Wasabi Marinated Hamachi,Boston Lettuce, Ossetra Caviar,Meyer Lemon Coulis, Pickled Jalapeño', 'Third Course': 'Truffe Blanche,Alba White Truffle, Grayson Agnolotti', 'Second Course': 'Langoustine,White Root Vegetable Velouté,Black Trumpet""Royale"", Scottish Langoustines,Winter Black Truffle, Wild Pecan', 'Seventh Course': 'Mont-Blanc,Chestnut Éclair, Finger Lime Chantilly,Porcini Meringue, Alba White Truffle', 'Six Course': 'Fromage,Black Truffle-Stuffed Moses Sleeper,Mâche Salad, Hazelnut Toasts', 'Five Course': 'Boeuf,Scharbauer Ranch Beef Striploin,Wild Mushrooms Civet, ""Bordelaise Sauce"",Potato ""Saint-Florentin"", Black Truffle'}, 'Tasting': {'Fourth Course': 'Turbot', 'First Course': 'Pintade', 'Third Course': 'Saint-Jacques*', 'Second Course': 'Seriole*', 'Seven Course': 'Mandarine,Itakuja', 'Six Course': 'Boeuf*', 'Five Course': 'Perdrix Rouge*'}, 'Cocktails': {'Shaken': 'White Cosmopolitan,By the Way', 'Non-Alcoholic': 'Tamarind,Honey Crisp Apple', 'Stirred': 'Eiffel Carrée,Carte Blanche', 'Sparkling': 'Head Over Heels*,This Flight Tonight', 'Tableside': 'Reveillon*', 'Flight': 'Flight of Whistle Pig', 'Seasonally Inspired': 'The Antidote*,Harvest Moon'}, 'Vegetarian Tasting': {'Vegetarian Tasting': 'Aubergine,Rutabaga,Champignons,Endives,Potimaron,Pois', 'Featured Items': 'Mandarine,Itakuja'}, 'Dinner': {'Main Courses': 'Lotte,Turbot,Boeuf*,Chevreuil*,Canard*,Agneau*', 'Appetizers': 'Flet,Langoustine,Rouget,Saumon*,Seriole*,Pintade,Caviar,Kabocha,Saint Pierre,Cabillaud,Perdrix Rouge*,Foie Gras,Saint-Jacques*,Truffe Blanche'}}","Dinner:    Monday - Thursday, 5:30pm -10:30pm    Friday - Saturday, 5:00pm - 10:30pm    ﻿Reservations are accepted up to 60 days in advance. "
Don Antonio by Starita,,
Don's Bogam,,
Denizen,{},Mon 5:00 pm–11:00 pm    Tue–Thu 5:00 pm–12:00 am    Fri 5:00 pm–1:00 am    Sat 11:00 am–1:00 am    Sun 11:00 am–11:00 pm
Donguri,,
DOMODOMO,,
Donostia,,
Dim Sum Go Go,,
Dirt Candy,"{'Cocktail Menu': {'Natural Red': ""Domaine Des Sablonnettes, Les Copines Aussi 2014,Remi Dufaitre, L'air DE Rien 2013,Irancy, Vini, Viti, Vinci 2011,Clos DE Trias, Vielles Vignes 2007,Chateau Massereau Cuvée X, Bordeaux, Superieur 2012,Dirty & Rowdy California Familiar, Mouvedre 2014,CA'Orologio Calaone 2012"", 'Natural Wines': 'Natural Wines', 'Non-Alcoholic': 'Navarro Gewürztraminer,Virgin Cocktails,Johnnie Ryan Ginger Beer,Coca-Cola, Diet Coke, Ginger Ale, Bubble up,Iced Tea,San Pellegrino & Acqua Panna', 'Beer': ""Captain Lawrence Kolsch, Elmsford, NY,Bell's Two-Hearted IPA, Kalamazoo, MI,Hitachino Nest, White Ale, Japan"", 'Natural Sparkling': ""L'atzar, Cava Brut, Reserva 2013,Thierry Tissot Brut, Rosé, Extra Dry Bugey NV,Audrey & Christian Binner, Cremant D'alsace, Extra Brut,Los Pilares LA Donna's 2014"", 'Cocktails': 'Celery Rickey,Tomato Margarita,The Fennel Fizz,Tijuana Sunrise,Zucchini Tini,Kentucky Lemonade,Poolside Breeze,Carrot Daiquiri,Dc Picklebacks', 'Red': 'Moli Dels Capellans, Atrepat 2014,Hans & Anita Nittnaus, Blaufränkisch 2013,Zuccardi, Serie a 2013,Churchill Estates, Touriga, Nacional 2012', 'Cider': 'Cidrerie, Du Vulcain La Transparente', 'White': 'Vadiaperti, Coda Di Volpe, 2014,Forstreiter, Grüner Veltliner, 2014,Hatzidakis, Assyrtiko, 2014,Thurnhoff, Goldmuskateller, 2014,Big Table Farm, Edelzwicker, 2013', 'Natural White': 'Weingut Maria & Sepp Muster, Opok 2013,I Vini Della Sibilla, Falanghina 2014,Didier Chaffardon, Chenin Blanc 2013,Domaine André & Mireille Tissot, Chardonnay, LA Mailloche 2012', 'Rose': 'Pascal Jolivet Sancerre 2015'}}",Brunch: Saturday - Sunday 11:30am-2:30pm    Dinner: Tuesday - Saturday 5:30pm - 10:30pm
Edi & The Wolf,,
Egg,,
